# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
28600           	1.01325000e+05	(1.06097195e+00 8.19302966e-07 1.24173190e-12)	3.99982971e+02
28700           	1.01325000e+05	(1.06097780e+00 1.45513838e-06 1.27125728e-12)	3.99982971e+02
28800           	1.01325000e+05	(1.06098323e+00 2.44732612e-07 1.23702370e-12)	3.99982971e+02
28900           	1.01325000e+05	(1.06098022e+00 -9.63901991e-07 1.25689932e-12)	3.99982971e+02
29000           	1.01325000e+05	(1.06097423e+00 -8.39016782e-07 1.25163669e-12)	3.99982971e+02
29100           	1.01325000e+05	(1.06097122e+00 5.38258357e-07 1.23366464e-12)	3.99982971e+02
29200           	1.01325000e+05	(1.06097716e+00 1.68506247e-06 1.24173614e-12)	3.99982971e+02
29300           	1.01325000e+05	(1.06098497e+00 5.83364905e-07 1.25479643e-12)	3.99982971e+02
29400           	1.01325000e+05	(1.06098435e+00 -1.32515041e-06 1.23645160e-12)	3.99982971e+02
29500           	1.01325000e+05	(1.06097532e+00 -2.05664269e-06 1.23651846e-12)	3.99982971e+02
29600           	1.01325000e+05	(1.06096646e+00 -1.70289808e-07 1.27195652e-12)	3.99982971e+02
29700           	1.01325000e+05	(1.06097218e+00 1.52338183e-06 1.24005813e-12)	3.99982971e+02
29800           	1.01325000e+05	(1.06097736e+00 7.98917064e-07 1.24542383e-12)	3.99982971e+02
29900           	1.01325000e+05	(1.06097883e+00 2.94815278e-07 1.23225432e-12)	3.99982971e+02
30000           	1.01325000e+05	(1.06097675e+00 -2.16268885e-07 1.23039729e-12)	3.99982971e+02
30100           	1.01325000e+05	(1.06097631e+00 4.48835621e-07 1.23092380e-12)	3.99982971e+02
30200           	1.01325000e+05	(1.06097855e+00 -1.65777314e-08 1.25616377e-12)	3.99982971e+02
30300           	1.01325000e+05	(1.06097636e+00 -4.46420091e-08 1.25476836e-12)	3.99982971e+02
30400           	1.01325000e+05	(1.06097697e+00 2.96256943e-07 1.25164967e-12)	3.99982971e+02
30500           	1.01325000e+05	(1.06097843e+00 2.37189308e-07 1.24488876e-12)	3.99982971e+02
30600           	1.01325000e+05	(1.06097934e+00 -2.78671845e-07 1.23462891e-12)	3.99982971e+02
30700           	1.01325000e+05	(1.06097618e+00 -5.11791422e-07 1.26880163e-12)	3.99982971e+02
30800           	1.01325000e+05	(1.06097538e+00 2.74574580e-07 1.24316209e-12)	3.99982971e+02
30900           	1.01325000e+05	(1.06097791e+00 1.59480423e-07 1.26675026e-12)	3.99982971e+02
31000           	1.01325000e+05	(1.06097719e+00 -5.72001707e-08 1.24087067e-12)	3.99982971e+02
31100           	1.01325000e+05	(1.06097726e+00 1.42123979e-07 1.25104937e-12)	3.99982971e+02
31200           	1.01325000e+05	(1.06097812e+00 5.36856728e-10 1.26254761e-12)	3.99982971e+02
31300           	1.01325000e+05	(1.06097752e+00 -2.13118325e-07 1.24900077e-12)	3.99982971e+02
31400           	1.01325000e+05	(1.06097628e+00 -8.53603570e-08 1.25804144e-12)	3.99982971e+02
31500           	1.01325000e+05	(1.06097647e+00 2.15366682e-07 1.24207146e-12)	3.99982971e+02
31600           	1.01325000e+05	(1.06097788e+00 2.26179062e-07 1.23762358e-12)	3.99982971e+02
31700           	1.01325000e+05	(1.06097855e+00 -7.22304961e-08 1.23586519e-12)	3.99982971e+02
31800           	1.01325000e+05	(1.06097744e+00 -3.11261105e-07 1.25501221e-12)	3.99982971e+02
31900           	1.01325000e+05	(1.06097581e+00 -1.01060341e-07 1.22224604e-12)	3.99982971e+02
32000           	1.01325000e+05	(1.06097618e+00 2.87648333e-07 1.26178638e-12)	3.99982971e+02
32100           	1.01325000e+05	(1.06097807e+00 2.96662562e-07 1.23353000e-12)	3.99982971e+02
32200           	1.01325000e+05	(1.06097893e+00 -1.26638594e-07 1.24691812e-12)	3.99982971e+02
32300           	1.01325000e+05	(1.06097729e+00 -4.17950020e-07 1.25070941e-12)	3.99982971e+02
32400           	1.01325000e+05	(1.06097528e+00 -1.16925549e-07 1.23181322e-12)	3.99982971e+02
32500           	1.01325000e+05	(1.06097585e+00 3.83176737e-07 1.25706076e-12)	3.99982971e+02
32600           	1.01325000e+05	(1.06097829e+00 3.92372797e-07 1.25015806e-12)	3.99982971e+02
32700           	1.01325000e+05	(1.06097954e+00 -1.38481161e-07 1.24105931e-12)	3.99982971e+02
32800           	1.01325000e+05	(1.06097758e+00 -5.63163371e-07 1.26373917e-12)	3.99982971e+02
32900           	1.01325000e+05	(1.06097486e+00 -2.26317400e-07 1.22962332e-12)	3.99982971e+02
33000           	1.01325000e+05	(1.06097515e+00 4.23102069e-07 1.24443155e-12)	3.99982971e+02
33100           	1.01325000e+05	(1.06097818e+00 5.46193383e-07 1.25628684e-12)	3.99982971e+02
33200           	1.01325000e+05	(1.06098019e+00 -5.89592210e-08 1.23703536e-12)	3.99982971e+02
